Date,Open,High,Low,Close,Volume
2011-04-26,52.5282,52.871,52.4077,52.6836,55122646.091514
2011-04-27,52.7584,53.1031,52.5382,53.0384,63036659.041627
2011-04-28,52.8969,53.0483,52.7404,52.9616,53715693.927912
2011-04-29,52.884,53.0982,52.8322,52.9198,50047373.670418
2011-05-02,52.9965,53.149,52.6836,52.8212,53732053.661722
2011-05-03,52.8022,52.847,52.2433,52.5642,42568689.834371
2011-05-04,52.593,52.7306,52.0501,52.4854,59281151.108955
2011-05-05,52.2343,52.8212,52.0221,52.2005,80535026.912726
2011-05-06,52.7216,53.0224,52.2264,52.3699,80941915.444087
2011-05-09,52.4516,52.7754,52.2533,52.5642,44685358.747603
2011-05-10,52.7306,53.0932,52.6478,53.0144,42476207.503334
2011-05-11,52.9437,53.1221,52.2692,52.6279,69100047.741655
2011-05-12,52.4516,53.0144,52.1617,52.9437,73818483.443537
2011-05-13,52.8302,52.9068,52.2971,52.3161,70897801.716342
2011-05-16,52.0929,52.2343,51.2968,51.4084,81638522.525437
2011-05-17,51.1514,51.5649,51.0368,51.5549,70527970.757364
2011-05-18,51.4812,52.0769,51.4174,51.9863,46708494.428436
2011-05-19,52.1527,52.2533,51.8139,52.1357,39099938.455587
2011-05-20,52.0769,52.1357,51.6735,51.7323,49906281.881824
2011-05-23,51.0458,51.1872,50.7409,50.985,48746471.205295
2011-05-24,51.1066,51.1166,50.6592,50.6692,43874099.030264
2011-05-25,50.5955,51.1066,50.5765,50.8654,46172676.259201
2011-05-26,50.714,51.3228,50.7041,51.1783,45276654.872981
2011-05-27,51.267,51.4891,51.2212,51.4354,33637717.528401
2011-05-31,51.9175,52.2692,51.6515,52.2692,53081331.924942
2011-06-01,52.1437,52.2692,51.0886,51.1344,57573252.713765
2011-06-02,51.242,51.4174,50.9562,51.242,56036252.761271
2011-06-03,50.6592,51.0458,50.3973,50.4719,64479886.87488
2011-06-06,50.3713,50.6323,50.0326,50.0595,56012234.596331
2011-06-07,50.1989,50.3863,49.9369,49.9738,51683260.731017
2011-06-08,49.8662,49.9559,49.4706,49.6142,51810047.413392
2011-06-09,49.5982,49.9469,49.4706,49.7058,50530624.689574
2011-06-10,49.4706,49.5702,48.8998,48.9417,59985274.092311
2011-06-13,48.9994,49.1997,48.7703,48.9397,42139210.436768
2011-06-14,49.3122,49.6868,49.2933,49.5702,45267216.835248
2011-06-15,49.11,49.401,48.5282,48.6258,65879279.976248
2011-06-16,48.6627,48.8181,48.026,48.4385,74018193.847645
2011-06-17,48.8819,49.0114,48.1416,48.2851,78366865.840207
2011-06-20,48.1675,48.6806,48.1496,48.5371,41605813.255198
2011-06-21,48.7085,49.632,48.5013,49.5792,62135905.086236
2011-06-22,49.373,49.66,49.2116,49.2196,40939274.800498
2011-06-23,48.7265,49.7058,48.5282,49.6789,89913720.33679
2011-06-24,49.4358,49.4886,48.7185,48.8181,62706921.926877
2011-06-27,48.8629,49.8482,48.7623,49.5882,55630730.301307
2011-06-28,49.7138,50.3425,49.632,50.3325,52376444.1022
2011-06-29,50.4779,50.6383,50.18,50.5357,72863835.411993
